epoch,loss,lr,val_loss
0,0.001492175506427884,1e-04,0.0014424400869756937
1,0.0008093607611954212,1e-04,0.0004320964217185974
2,0.00010749146167654544,1e-04,0.00010329800716135651
3,5.329503619577736e-05,1e-04,9.241201041731983e-05
4,3.90419882023707e-05,1e-04,9.419972775503993e-05
5,3.066997669520788e-05,1e-04,9.59704484557733e-05
6,2.4649292754475027e-05,1e-04,0.00010303881572326645
7,2.2008485757396556e-05,1e-04,9.454258542973548e-05
8,1.8175793229602277e-05,1e-04,0.00010821335308719426
9,1.589325984241441e-05,5e-05,0.00010388970986241475
10,1.491471630288288e-05,5e-05,0.0001024800367304124
11,1.4649651348008774e-05,5e-05,0.00010786023631226271
12,1.432501358067384e-05,5e-05,0.00010804410703713074
13,1.3536025107896421e-05,5e-05,0.00010613360063871369
14,1.3284646229294594e-05,5e-05,0.00010497990297153592
15,1.2775869436154608e-05,5e-05,0.00011059988901251927
16,1.2476571100705769e-05,2.5e-05,0.00010701915016397834
17,1.237132619280601e-05,2.5e-05,0.00010718572593759745
18,1.2276159395696595e-05,2.5e-05,0.00010476548050064594
19,1.2090056770830415e-05,2.5e-05,0.00010906744137173519
20,1.2065133887517732e-05,2.5e-05,0.00010778593423310667
21,1.1555467608559411e-05,2.5e-05,0.00010537092748563737
22,1.1610662113525905e-05,2.5e-05,0.00010741482401499525
23,1.1551704119483475e-05,1.25e-05,0.00010849758837139234
