epoch,1,2,3,4,5,6,7,8,loss,lr,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_loss
0,0.006961985491216183,0.006824715528637171,0.00658215768635273,0.006837070919573307,0.006907947361469269,0.007513977587223053,0.007310829125344753,0.0073394691571593285,0.0070347716100513935,1e-04,0.00421502161771059,0.004599696025252342,0.004234931897372007,0.004572083707898855,0.004418777767568827,0.005654228385537863,0.004688359331339598,0.004816301167011261,0.004649925045669079
1,0.004328662529587746,0.004354943986982107,0.0040091583505272865,0.004368238616734743,0.004495061468333006,0.005285191349685192,0.004838334396481514,0.004869006108492613,0.0045685735531151295,1e-04,0.00580811919644475,0.005905028898268938,0.005708175711333752,0.006044815760105848,0.006498766131699085,0.0066994265653193,0.006289708893746138,0.006335569079965353,0.006161200813949108
2,0.004452294670045376,0.004542662296444178,0.004242357797920704,0.004730775952339172,0.004890459589660168,0.0054679010063409805,0.004741054493933916,0.004978512413799763,0.00475575216114521,1e-04,0.00380687159486115,0.0037499540485441685,0.0036163118202239275,0.004147733096033335,0.0039647663943469524,0.0049287318252027035,0.00438329391181469,0.004741001408547163,0.0041673327796161175
3,0.0035184037405997515,0.0035214724484831095,0.0031568107660859823,0.0036955815739929676,0.003770214505493641,0.004244565032422543,0.0035723040346056223,0.003787983674556017,0.003658417845144868,1e-04,0.001950845355167985,0.0019037190359085798,0.002213159343227744,0.0021995080169290304,0.0023147612810134888,0.002846142277121544,0.002787766046822071,0.0026964624412357807,0.002364045474678278
4,0.00376613880507648,0.003913454711437225,0.0032771399710327387,0.004235444590449333,0.004216884262859821,0.004461664240807295,0.003114060265943408,0.0040478939190506935,0.0038790851831436157,1e-04,0.00419446500018239,0.003940733149647713,0.0033268851693719625,0.0036176417488604784,0.0036865638103336096,0.00427218759432435,0.0019018654711544514,0.003181222826242447,0.0035151957999914885
5,0.003328152233734727,0.0035255122929811478,0.0028870413079857826,0.003939810208976269,0.00365821598097682,0.0037868397776037455,0.0021273584570735693,0.0030514050740748644,0.0032880415674299,1e-04,0.002090166788548231,0.0018913584062829614,0.00188078370410949,0.0015170719707384706,0.001742006279528141,0.002779133850708604,0.0019525584066286683,0.0018237601034343243,0.001959604676812887
6,0.002553994534537196,0.002940360689535737,0.002566317096352577,0.0035493525210767984,0.0030111235100775957,0.0029223032761365175,0.0010560298105701804,0.0019973122980445623,0.0025745993480086327,1e-04,0.0025725383311510086,0.0016732041258364916,0.0015077581629157066,0.0016177943907678127,0.0018132490804418921,0.0025589328724890947,0.0014082472771406174,0.0019496764289215207,0.0018876750255003572
7,0.001969032222405076,0.002303666202351451,0.0020383503288030624,0.003063702257350087,0.0022204117849469185,0.001899450900964439,0.0006404657615348697,0.0011370894499123096,0.0019090212881565094,1e-04,0.0028735590167343616,0.003860257565975189,0.003869094653055072,0.0037727307062596083,0.00300664734095335,0.0025314628146588802,0.001181886182166636,0.0018946221098303795,0.0028737825341522694
8,0.0015081028686836362,0.0018467961344867945,0.001815578667446971,0.0026623804587870836,0.0016944368835538626,0.0012731746537610888,0.000514887273311615,0.0007963144453242421,0.0015139591414481401,1e-04,0.002230850514024496,0.0017612430965527892,0.0015401357086375356,0.001962980255484581,0.001050149672664702,0.0013191292528063059,0.0008831612067297101,0.0008146204054355621,0.0014452837640419602
9,0.0007919577765278518,0.0008890616009011865,0.0008779472555033863,0.0014797714538872242,0.0008168117492459714,0.0005222564213909209,0.00025851448299363256,0.0003837423864752054,0.0007525076507590711,1e-04,0.0025092968717217445,0.0016691505443304777,0.0014495572540909052,0.0012441551079973578,0.0008984639425761998,0.0012394993100315332,0.0007825194043107331,0.0007566953427158296,0.0013186672003939748
